# accession	TC1	TC2	genesymbol	length	familytype	product_name	product_name_orig
TIGR00073	121.2	121.2	hypB	217	equivalog	hydrogenase accessory protein HypB	hydrogenase accessory protein HypB
TIGR00074	48	48	hypC	80	subfamily	HypC/HybG/HupF family hydrogenase formation chaperone	hydrogenase assembly chaperone HypC/HupF
TIGR00075	192.8	192.8	hypD	372	equivalog	hydrogenase formation protein HypD	hydrogenase expression/formation protein HypD
TIGR00077	73.95	73.95	lspA	164	equivalog	signal peptidase II	signal peptidase II
TIGR00078	198.4	198.4	nadC	269	equivalog	carboxylating nicotinate-nucleotide diphosphorylase	nicotinate-nucleotide diphosphorylase (carboxylating)
TIGR00079	103.95	103.95	def	161	equivalog	peptide deformylase	peptide deformylase
TIGR00080	159.05	159.05	pcm	216	equivalog	protein-L-isoaspartate O-methyltransferase	protein-L-isoaspartate O-methyltransferase
TIGR00081	189.9	189.9	purC	279	equivalog	phosphoribosylaminoimidazolesuccinocarboxamide synthase	phosphoribosylaminoimidazolesuccinocarboxamide synthase
TIGR00082	51.15	51.15	rbfA	115	equivalog	30S ribosome-binding factor RbfA	ribosome-binding factor A
TIGR00083	184.35	184.35	ribF	290	equivalog	riboflavin biosynthesis protein RibF	riboflavin biosynthesis protein RibF
TIGR00084	116.45	116.45	ruvA	192	equivalog	Holliday junction branch migration protein RuvA	Holliday junction DNA helicase RuvA
TIGR00086	119.1	119.1	smpB	144	equivalog	SsrA-binding protein	SsrA-binding protein
TIGR00087	135.1	135.1	surE	252	equivalog	5'/3'-nucleotidase SurE	5'/3'-nucleotidase SurE
TIGR00088	195	195	trmD	233	equivalog	tRNA (guanosine(37)-N1)-methyltransferase TrmD	tRNA (guanine(37)-N(1))-methyltransferase
TIGR00089	251	251	NULL	429	subfamily	MiaB/RimO family radical SAM methylthiotransferase	radical SAM methylthiotransferase, MiaB/RimO family
TIGR00090	56.9	56.9	rsfS	99	equivalog	ribosome silencing factor	ribosome silencing factor
TIGR00091	112.65	112.65	trmB	194	equivalog	tRNA (guanosine(46)-N7)-methyltransferase TrmB	tRNA (guanine-N(7)-)-methyltransferase
TIGR00092	279.2	279.2	ychF	368	equivalog	redox-regulated ATPase YchF	GTP-binding protein YchF
TIGR00093	109.3	109.3	NULL	161	subfamily	pseudouridine synthase	pseudouridine synthase
TIGR00094	172.2	172.2	truD	413	equivalog	tRNA pseudouridine(13) synthase TruD	tRNA pseudouridine synthase, TruD family
TIGR00095	117.5	117.5	rsmD	194	equivalog	16S rRNA (guanine(966)-N(2))-methyltransferase RsmD	16S rRNA (guanine(966)-N(2))-methyltransferase RsmD
TIGR00096	167.9	167.9	rsmI	275	equivalog	16S rRNA (cytidine(1402)-2'-O)-methyltransferase	16S rRNA (cytidine(1402)-2'-O)-methyltransferase
TIGR00097	204.95	204.95	thiD	254	equivalog_domain	bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase	hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase
TIGR00099	137	137	NULL	256	subfamily	Cof-type HAD-IIB family hydrolase	Cof-like hydrolase
TIGR00100	88.1	88.1	hypA	116	equivalog	hydrogenase maturation nickel metallochaperone HypA	hydrogenase nickel insertion protein HypA
TIGR00101	204.2	204.2	ureG	199	equivalog	urease accessory protein UreG	urease accessory protein UreG
TIGR00103	49.45	49.45	NULL	104	equivalog	YbaB/EbfC family nucleoid-associated protein	DNA-binding protein, YbaB/EbfC family
TIGR00104	93.25	93.25	tsaA	143	equivalog	tRNA (N6-threonylcarbamoyladenosine(37)-N6)-methyltransferase TrmO	tRNA-Thr(GGU) m(6)t(6)A37 methyltransferase TsaA
TIGR00105	38.35	38.35	rpmE	68	equivalog	50S ribosomal protein L31	ribosomal protein bL31
TIGR00107	232.25	232.25	deoD	232	equivalog	purine-nucleoside phosphorylase	purine nucleoside phosphorylase
TIGR00109	124.6	124.6	hemH	322	equivalog	ferrochelatase	ferrochelatase
TIGR00110	618.15	618.15	ilvD	543	equivalog	dihydroxy-acid dehydratase	dihydroxy-acid dehydratase
TIGR00111	177.65	177.65	NULL	351	equivalog	mRNA surveillance protein pelota	mRNA surveillance protein pelota
TIGR00112	196.75	196.75	proC	263	equivalog	pyrroline-5-carboxylate reductase	pyrroline-5-carboxylate reductase
TIGR00113	267.45	267.45	queA	345	equivalog	tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
TIGR00114	84.6	84.6	ribH	138	equivalog	6,7-dimethyl-8-ribityllumazine synthase	6,7-dimethyl-8-ribityllumazine synthase
TIGR00115	180.2	180.2	tig	410	equivalog	trigger factor	trigger factor
TIGR00116	104.05	104.05	tsf	293	equivalog	translation elongation factor Ts	translation elongation factor Ts
TIGR00117	1287.2	1287.2	acnB	844	equivalog	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase	aconitate hydratase 2
TIGR00118	538.35	538.35	ilvB	557	equivalog	biosynthetic-type acetolactate synthase large subunit	acetolactate synthase, large subunit, biosynthetic type
TIGR00119	56.9	56.9	ilvN	158	equivalog	acetolactate synthase small subunit	acetolactate synthase, small subunit
TIGR00120	298	298	argJ	405	equivalog	bifunctional ornithine acetyltransferase/N-acetylglutamate synthase	glutamate N-acetyltransferase/amino-acid acetyltransferase
TIGR00121	83.1	83.1	NULL	235	equivalog_domain	biotin--[acetyl-CoA-carboxylase] ligase	biotin--[acetyl-CoA-carboxylase] ligase
TIGR00122	70	70	NULL	69	equivalog_domain	biotin operon repressor	biotin operon repressor
TIGR00123	184.15	184.15	cbiM	214	equivalog	cobalt ECF transporter S component CbiM	cobalamin biosynthesis protein CbiM
TIGR00124	262.1	262.1	citC	335	equivalog	[citrate (pro-3S)-lyase] ligase	[citrate (pro-3S)-lyase] ligase
TIGR00126	117.3	117.3	deoC	211	equivalog	deoxyribose-phosphate aldolase	deoxyribose-phosphate aldolase
TIGR00127	397.15	397.15	NULL	409	equivalog	isocitrate dehydrogenase (NADP(+))	isocitrate dehydrogenase, NADP-dependent
TIGR00128	260.9	260.9	fabD	290	equivalog	[acyl-carrier-protein] S-malonyltransferase	malonyl CoA-acyl carrier protein transacylase
TIGR00129	140.9	140.9	fdhD	237	equivalog	formate dehydrogenase accessory sulfurtransferase FdhD	formate dehydrogenase family accessory protein FdhD
TIGR00130	134.95	134.95	frhD	153	equivalog	coenzyme F420-reducing hydrogenase, FrhD protein	coenzyme F420-reducing hydrogenase, FrhD protein
TIGR00131	226.65	226.65	galK	388	equivalog	galactokinase	galactokinase
TIGR00132	481.1	481.1	gatA	466	equivalog	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase GatCAB subunit A	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, A subunit
TIGR00133	314.8	314.8	gatB	481	equivalog	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase GatCAB subunit B	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, B subunit
TIGR00134	319.55	319.55	gatE	622	equivalog	Glu-tRNA(Gln) amidotransferase GatDE subunit E	glutamyl-tRNA(Gln) amidotransferase, subunit E
TIGR00135	47.1	47.1	gatC	93	equivalog	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase GatCAB subunit C	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, C subunit
TIGR00136	524.85	524.85	mnmG	616	equivalog	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG	tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA
TIGR00137	428.65	428.65	trmFO	433	equivalog	FADH(2)-oxidizing methylenetetrahydrofolate--tRNA-(uracil(54)-C(5))-methyltransferase TrmFO	tRNA:m(5)U-54 methyltransferase
TIGR00138	99.5	99.5	rsmG	183	equivalog	16S rRNA (guanine(527)-N(7))-methyltransferase RsmG	16S rRNA (guanine(527)-N(7))-methyltransferase RsmG
TIGR00139	529.9	529.9	lysF	709	equivalog	homoaconitase	homoaconitase
TIGR00140	151.8	151.8	hybD	151	subfamily	HyaD/HybD family hydrogenase maturation endopeptidase	hydrogenase expression/formation protein
TIGR00142	119.1	119.1	hycI	146	equivalog	hydrogenase maturation peptidase HycI	hydrogenase maturation peptidase HycI
TIGR00143	466.1	466.1	hypF	741	equivalog	carbamoyltransferase HypF	carbamoyltransferase HypF
TIGR00145	303.8	303.8	NULL	282	subfamily	FTR1 family protein	FTR1 family protein
TIGR00147	118.65	118.65	NULL	296	subfamily	YegS/Rv2252/BmrU family lipid kinase	lipid kinase, YegS/Rv2252/BmrU family
TIGR00148	244.85	244.85	NULL	438	subfamily	UbiD family decarboxylase	decarboxylase, UbiD family
TIGR00150	60.1	60.1	tsaE	135	equivalog	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE	tRNA threonylcarbamoyl adenosine modification protein YjeE
TIGR00151	116.45	116.45	ispF	155	equivalog_domain	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
TIGR00152	65.55	65.55	coaE	188	equivalog	dephospho-CoA kinase	dephospho-CoA kinase
TIGR00153	104.3	104.3	NULL	217	hypoth_equivalog	TIGR00153 family protein	TIGR00153 family protein
TIGR00154	138.7	138.7	ispE	294	equivalog	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase
TIGR00155	260.35	260.35	NULL	403	subfamily	PqiA/YebS family transporter subunit	integral membrane protein, PqiA family
TIGR00156	108.15	108.15	NULL	128	subfamily	YgiW/YdeI family stress tolerance OB fold protein	TIGR00156 family protein
TIGR00157	100	100	rsgA	247	equivalog	ribosome small subunit-dependent GTPase A	ribosome small subunit-dependent GTPase A
TIGR00158	58.6	58.6	rplI	148	equivalog	50S ribosomal protein L9	ribosomal protein bL9
TIGR00159	188.8	188.8	NULL	254	hypoth_equivalog	TIGR00159 family protein	TIGR00159 family protein
TIGR00160	146.9	146.9	mgsA	143	equivalog	methylglyoxal synthase	methylglyoxal synthase
TIGR00161	199.25	199.25	NULL	239	hypoth_equivalog	proteasome assembly chaperone family protein	TIGR00161 family protein
TIGR00162	200	200	NULL	260	hypoth_equivalog	proteasome assembly chaperone family protein	TIGR00162 family protein
TIGR00163	111.75	111.75	psd	243	equivalog	phosphatidylserine decarboxylase	phosphatidylserine decarboxylase
TIGR00164	144.75	144.75	NULL	215	hypoth_equivalog	phosphatidylserine decarboxylase family protein	phosphatidylserine decarboxylase homolog
TIGR00165	38.75	38.75	rpsR	70	equivalog	30S ribosomal protein S18	ribosomal protein bS18
TIGR00166	42.9	42.9	rpsF	95	equivalog	30S ribosomal protein S6	ribosomal protein bS6
TIGR00167	215.6	215.6	NULL	290	subfamily	ketose-bisphosphate aldolase	ketose-bisphosphate aldolase
TIGR00168	69.25	69.25	infC	165	equivalog	translation initiation factor IF-3	translation initiation factor IF-3
TIGR00169	353.2	353.2	leuB	349	equivalog	3-isopropylmalate dehydrogenase	3-isopropylmalate dehydrogenase
TIGR00170	560.25	560.25	leuC	466	equivalog_domain	3-isopropylmalate dehydratase large subunit	3-isopropylmalate dehydratase, large subunit
TIGR00171	116.25	116.25	leuD	188	equivalog_domain	3-isopropylmalate dehydratase small subunit	3-isopropylmalate dehydratase, small subunit
TIGR00172	117.15	117.15	maf	185	equivalog	septum formation protein Maf	septum formation protein Maf
TIGR00173	244.2	244.2	menD	435	equivalog	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase
TIGR00174	148.65	148.65	miaA	288	equivalog	tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA	tRNA dimethylallyltransferase
TIGR00175	432.4	432.4	NULL	334	equivalog	isocitrate dehydrogenase (NAD(+))	isocitrate dehydrogenase, NAD-dependent
TIGR00176	76.2	76.2	mobB	155	equivalog	molybdopterin-guanine dinucleotide biosynthesis protein B	molybdopterin-guanine dinucleotide biosynthesis protein B
TIGR00178	950	950	NULL	744	equivalog	NADP-dependent isocitrate dehydrogenase	isocitrate dehydrogenase, NADP-dependent
TIGR00179	144.5	144.5	murB	290	equivalog	UDP-N-acetylmuramate dehydrogenase	UDP-N-acetylenolpyruvoylglucosamine reductase
TIGR00180	58.45	58.45	NULL	186	domain	ParB/RepB/Spo0J family partition protein	ParB/RepB/Spo0J family partition protein
TIGR00181	490.55	490.55	pepF	591	equivalog	oligoendopeptidase F	oligoendopeptidase F
TIGR00182	243.4	243.4	plsX	337	equivalog	phosphate acyltransferase PlsX	fatty acid/phospholipid synthesis protein PlsX
TIGR00183	567.3	567.3	icd	417	equivalog	isocitrate dehydrogenase (NADP(+))	isocitrate dehydrogenase, NADP-dependent
TIGR00184	395.55	395.55	purA	425	equivalog	adenylosuccinate synthase	adenylosuccinate synthase
TIGR00185	190.6	190.6	trmL	154	equivalog	tRNA (uridine(34)/cytosine(34)/5-carboxymethylaminomethyluridine(34)-2'-O)-methyltransferase TrmL	tRNA (cytidine(34)-2'-O)-methyltransferase
TIGR00186	160.15	160.15	rlmB	240	equivalog	23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB	RNA methyltransferase, TrmH family, group 3
TIGR00187	156.6	156.6	ribE	207	equivalog	riboflavin synthase	riboflavin synthase, alpha subunit
TIGR00188	38.35	38.35	rnpA	111	equivalog	ribonuclease P protein component	ribonuclease P protein component
TIGR00189	292.85	292.85	tesB	282	equivalog	acyl-CoA thioesterase II	acyl-CoA thioesterase II
TIGR00190	460	460	thiC	423	equivalog	phosphomethylpyrimidine synthase	phosphomethylpyrimidine synthase
TIGR00191	168.25	168.25	thrB	304	equivalog	homoserine kinase	homoserine kinase
TIGR00192	90.3	90.3	ureB	103	equivalog_domain	urease subunit beta	urease, beta subunit
TIGR00193	82.3	82.3	ureA	102	equivalog_domain	urease subunit gamma	urease, gamma subunit
TIGR00194	285.45	285.45	uvrC	574	equivalog	excinuclease ABC subunit C	excinuclease ABC subunit C
TIGR00195	182.55	182.55	xth	254	equivalog	exodeoxyribonuclease III	exodeoxyribonuclease III
TIGR00196	129.85	129.85	NULL	277	hypoth_equivalog_domain	NAD(P)H-hydrate dehydratase	YjeF family C-terminal domain
TIGR00197	88.6	88.6	NULL	206	hypoth_equivalog_domain	NAD(P)H-hydrate epimerase	YjeF family N-terminal domain
TIGR00198	770.25	770.25	katG	716	equivalog	catalase/peroxidase HPI	catalase/peroxidase HPI
TIGR00199	68.9	68.9	NULL	149	subfamily_domain	nicotinamide-nucleotide amidohydrolase family protein	amidohydrolase, PncC family
TIGR00200	243.15	243.15	NULL	414	subfamily	CinA family nicotinamide mononucleotide deamidase-related protein	competence/damage-inducible protein CinA N-terminal domain
TIGR00201	233.55	233.55	NULL	190	subfamily	ComF family protein	comF family protein
TIGR00202	70.1	70.1	csrA	69	equivalog	carbon storage regulator	carbon storage regulator
TIGR00203	117.3	117.3	cydB	378	equivalog	cytochrome d ubiquinol oxidase subunit II	cytochrome d ubiquinol oxidase, subunit II
TIGR00204	465.95	465.95	dxs	616	equivalog	1-deoxy-D-xylulose-5-phosphate synthase	1-deoxy-D-xylulose-5-phosphate synthase
TIGR00205	48.1	48.1	fliE	109	equivalog	flagellar hook-basal body complex protein FliE	flagellar hook-basal body complex protein FliE
TIGR00206	129.75	129.75	fliF	555	equivalog	flagellar M-ring protein FliF	flagellar M-ring protein FliF
TIGR00207	226.7	226.7	fliG	338	equivalog	flagellar motor switch protein FliG	flagellar motor switch protein FliG
TIGR00208	53.75	53.75	fliS	124	equivalog	flagellar export chaperone FliS	flagellar protein FliS
TIGR00209	102.1	102.1	galT	349	equivalog	galactose-1-phosphate uridylyltransferase	galactose-1-phosphate uridylyltransferase
TIGR00210	310.75	310.75	gltS	398	equivalog	sodium/glutamate symporter	sodium/glutamate symporter
TIGR00211	321.95	321.95	glyS	691	equivalog_domain	glycine--tRNA ligase subunit beta	glycine--tRNA ligase, beta subunit
TIGR00212	164	164	hemC	293	equivalog	hydroxymethylbilane synthase	hydroxymethylbilane synthase
TIGR00213	149.6	149.6	gmhB	176	subfamily	D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase	D,D-heptose 1,7-bisphosphate phosphatase
TIGR00214	83.55	83.55	lipB	187	equivalog	lipoyl(octanoyl) transferase	lipoyl(octanoyl) transferase
TIGR00215	190.25	190.25	lpxB	382	equivalog	lipid-A-disaccharide synthase	lipid-A-disaccharide synthase
TIGR00216	187.85	187.85	ispH	282	equivalog	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
TIGR00217	205.65	205.65	malQ	587	equivalog	4-alpha-glucanotransferase	4-alpha-glucanotransferase
TIGR00218	116.2	116.2	manA	359	equivalog	mannose-6-phosphate isomerase, class I	mannose-6-phosphate isomerase, class I
TIGR00219	92.75	92.75	mreC	283	equivalog	rod shape-determining protein MreC	rod shape-determining protein MreC
TIGR00220	71	71	mscL	127	equivalog	large conductance mechanosensitive channel protein MscL	large conductance mechanosensitive channel protein
TIGR00221	225.65	225.65	nagA	380	equivalog	N-acetylglucosamine-6-phosphate deacetylase	N-acetylglucosamine-6-phosphate deacetylase
TIGR00222	207.55	207.55	panB	264	equivalog	3-methyl-2-oxobutanoate hydroxymethyltransferase	3-methyl-2-oxobutanoate hydroxymethyltransferase
TIGR00223	106	106	panD	126	equivalog	aspartate 1-decarboxylase	aspartate 1-decarboxylase
TIGR00224	590.05	590.05	pckA	532	equivalog	phosphoenolpyruvate carboxykinase (ATP)	phosphoenolpyruvate carboxykinase (ATP)
TIGR00228	100.65	100.65	ruvC	156	equivalog	crossover junction endodeoxyribonuclease RuvC	crossover junction endodeoxyribonuclease RuvC
TIGR00229	22.9	22.9	NULL	126	domain	PAS domain S-box protein	PAS domain S-box protein
TIGR00230	126.45	126.45	sfsA	234	equivalog	DNA/RNA nuclease SfsA	sugar fermentation stimulation protein
TIGR00231	42.5	42.5	NULL	164	domain	GTP-binding protein	small GTP-binding protein domain
TIGR00232	682.25	682.25	tkt	654	equivalog	transketolase	transketolase
TIGR00233	176.75	176.75	trpS	328	equivalog	tryptophan--tRNA ligase	tryptophan--tRNA ligase
TIGR00234	113.8	113.8	tyrS	406	equivalog	tyrosine--tRNA ligase	tyrosine--tRNA ligase
TIGR00235	220.3	220.3	udk	207	equivalog	uridine kinase	uridine kinase
TIGR00236	210.15	210.15	NULL	366	equivalog	UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing)	UDP-N-acetylglucosamine 2-epimerase
TIGR00237	180	180	xseA	389	equivalog	exodeoxyribonuclease VII large subunit	exodeoxyribonuclease VII, large subunit
TIGR00238	199.2	199.2	NULL	331	subfamily	KamA family radical SAM protein	KamA family protein
TIGR00239	770	770	sucA	931	equivalog	2-oxoglutarate dehydrogenase E1 component	oxoglutarate dehydrogenase (succinyl-transferring), E1 component
TIGR00240	148.55	148.55	pyrI	150	equivalog	aspartate carbamoyltransferase regulatory subunit	aspartate carbamoyltransferase, regulatory subunit
TIGR00242	98.35	98.35	mraZ	144	equivalog	division/cell wall cluster transcriptional repressor MraZ	division/cell wall cluster transcriptional repressor MraZ
TIGR00243	315.7	315.7	dxr	389	equivalog	1-deoxy-D-xylulose-5-phosphate reductoisomerase	1-deoxy-D-xylulose 5-phosphate reductoisomerase
TIGR00244	124.65	124.65	nrdR	147	equivalog	transcriptional regulator NrdR	transcriptional regulator NrdR
TIGR00245	164.8	164.8	fetB	248	equivalog	iron export ABC transporter permease subunit FetB	TIGR00245 family protein
TIGR00246	149.7	149.7	rlmH	155	equivalog	23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH	rRNA large subunit m3Psi methyltransferase RlmH
TIGR00247	103.4	103.4	mltG	347	hypoth_equivalog	endolytic transglycosylase MltG	conserved hypothetical protein, YceG family
TIGR00249	74.5	74.5	sixA	154	equivalog	phosphohistidine phosphatase SixA	phosphohistidine phosphatase SixA
TIGR00250	43.25	43.25	ruvX	130	equivalog	Holliday junction resolvase RuvX	putative transcription antitermination factor YqgF
TIGR00251	53.5	53.5	NULL	87	hypoth_equivalog	YggU family protein	TIGR00251 family protein
TIGR00252	69.05	69.05	NULL	123	hypoth_equivalog	YraN family protein	TIGR00252 family protein
TIGR00253	78.5	78.5	yhbY	96	equivalog	ribosome assembly RNA-binding protein YhbY	putative RNA-binding protein, YhbY family
